Mach,CD Power-Off
6.66,0.253377611
6.67,0.253212494
6.68,0.253047749
6.69,0.252883369
6.7,0.25271936
6.71,0.252555719
6.72,0.25239244
6.73,0.252229528
6.74,0.252066981
6.75,0.251904782
6.76,0.251742956
6.77,0.251581468
6.78,0.251420359
6.79,0.251259577
6.8,0.251099176
6.81,0.250939104
6.82,0.250779404
6.83,0.250620043
6.84,0.250461026
6.85,0.250302358
6.86,0.250144042
6.87,0.249986052
6.88,0.249828427
6.89,0.249671131
6.9,0.249514178
6.91,0.249357558
6.92,0.249201292
6.93,0.249045347
6.94,0.248889745
6.95,0.248734477
6.96,0.248579535
6.97,0.248424923
6.98,0.248270652
6.99,0.248116705
7,0.247967933
7.01,0.247829572
7.02,0.247691588
7.03,0.247554022
7.04,0.247416854
7.05,0.247280068
7.06,0.247143688
7.07,0.247007687
7.08,0.246872088
7.09,0.24673687
7.1,0.246602053
7.11,0.246467625
7.12,0.246333563
7.13,0.246199892
7.14,0.246066627
7.15,0.24593371
7.16,0.245801184
7.17,0.245669035
7.18,0.245537257
7.19,0.245405839
7.2,0.245274826
7.21,0.245144172
7.22,0.245013882
7.23,0.244883977
7.24,0.244754428
7.25,0.244625249
7.26,0.244496431
7.27,0.244367966
7.28,0.244239893
7.29,0.244112161
7.3,0.243984778
7.31,0.243857758
7.32,0.243731091
7.33,0.243604785
7.34,0.243478833
7.35,0.243353232
7.36,0.243227975
7.37,0.243103087
7.38,0.242978528
7.39,0.242854323
7.4,0.242730471
7.41,0.242606946
7.42,0.242483771
7.43,0.242360935
7.44,0.242238448
7.45,0.242116293
7.46,0.241994478
7.47,0.241872989
7.48,0.241751847
7.49,0.241631035
7.5,0.241510552
7.51,0.241390411
7.52,0.241270599
7.53,0.2411511
7.54,0.241031928
7.55,0.240913102
7.56,0.240794585
7.57,0.240676409
7.58,0.240558539
7.59,0.240440991
7.6,0.240323769
7.61,0.240206856
7.62,0.240090262
7.63,0.239973996
7.64,0.239858046
7.65,0.239742395
7.66,0.239627071
7.67,0.239512059
7.68,0.23939736
7.69,0.239282946
7.7,0.239168864
7.71,0.23905508
7.72,0.238941616
7.73,0.238828431
7.74,0.23871558
7.75,0.238603008
7.76,0.238490736
7.77,0.238378783
7.78,0.238267116
7.79,0.238155766
7.8,0.238044677
7.81,0.23793391
7.82,0.237823429
7.83,0.237713245
7.84,0.237603373
7.85,0.237493766
7.86,0.237384458
7.87,0.237275429
7.88,0.237166703
7.89,0.23705826
7.9,0.236950107
7.91,0.236842228
7.92,0.236734654
7.93,0.236627344
7.94,0.23652033
7.95,0.236413578
7.96,0.236307126
7.97,0.236200944
7.98,0.236095036
7.99,0.235989411
8,0.235884077
8.01,0.235778988
8.02,0.23567419
8.03,0.235569652
8.04,0.235465401
8.05,0.235361429
8.06,0.235257708
8.07,0.235154279
8.08,0.235051098
8.09,0.234948192
8.1,0.234845549
8.11,0.234743173
8.12,0.234641059
8.13,0.23453922
8.14,0.234437611
8.15,0.234336297
8.16,0.234235241
8.17,0.234134426
8.18,0.234033878
8.19,0.233933597
8.2,0.23383356
8.21,0.233733796
8.22,0.233634271
8.23,0.233535015
8.24,0.233435988
8.25,0.233337244
8.26,0.23323873
8.27,0.233140469
8.28,0.233042488
8.29,0.232944719
8.3,0.232847206
8.31,0.23274995
8.32,0.232652914
8.33,0.232556159
8.34,0.232459646
8.35,0.232363353
8.36,0.232267305
8.37,0.23217152
8.38,0.232075956
8.39,0.231980656
8.4,0.231885572
8.41,0.231790725
8.42,0.231696126
8.43,0.231601764
8.44,0.231507649
8.45,0.231413744
8.46,0.231320099
8.47,0.231226674
8.48,0.231133482
8.49,0.231040523
8.5,0.230947805
8.51,0.230855319
8.52,0.230763038
8.53,0.230670998
8.54,0.230579186
8.55,0.230487617
8.56,0.230396267
8.57,0.23030514
8.58,0.230214222
8.59,0.230123556
8.6,0.230033089
8.61,0.229942868
8.62,0.229852849
8.63,0.229763064
8.64,0.2296735
8.65,0.229584145
8.66,0.229494999
8.67,0.229406092
8.68,0.229317412
8.69,0.229228936
8.7,0.229140662
8.71,0.22905262
8.72,0.228964771
8.73,0.228877174
8.74,0.228789767
8.75,0.228702574
8.76,0.228615586
8.77,0.228528823
8.78,0.228442257
8.79,0.228355903
8.8,0.228269766
8.81,0.228183826
8.82,0.228098096
8.83,0.228012577
8.84,0.227927275
8.85,0.227842173
8.86,0.227757255
8.87,0.227672569
8.88,0.227588063
8.89,0.227503774
8.9,0.227419683
8.91,0.227335794
8.92,0.227252102
8.93,0.227168622
8.94,0.227085321
8.95,0.227002232
8.96,0.226919341
8.97,0.226836645
8.98,0.226754142
8.99,0.226671822
9,0.226589733
9.01,0.226507822
9.02,0.22642609
9.03,0.226344572
9.04,0.226263235
9.05,0.226182085
9.06,0.226101142
9.07,0.226020384
9.08,0.225939796
9.09,0.225859428
9.1,0.225779245
9.11,0.225699229
9.12,0.225619426
9.13,0.225539795
9.14,0.225460362
9.15,0.225381089
9.16,0.225302022
9.17,0.225223156
9.18,0.225144458
9.19,0.225065935
9.2,0.224987606
9.21,0.224909434
9.22,0.22483147
9.23,0.224753697
9.24,0.224676092
9.25,0.224598646
9.26,0.224521401
9.27,0.224444332
9.28,0.22436744
9.29,0.224290723
9.3,0.22421418
9.31,0.224137833
9.32,0.22406163
9.33,0.223985639
9.34,0.223909797
9.35,0.223834141
9.36,0.223758651
9.37,0.223683336
9.38,0.223608185
9.39,0.223533227
9.4,0.223458443
9.41,0.223383816
9.42,0.223309357
9.43,0.223235073
9.44,0.223160942
9.45,0.223087001
9.46,0.22301322
9.47,0.22293961
9.48,0.222866168
9.49,0.22279288
9.5,0.222719765
9.51,0.222646839
9.52,0.222574044
9.53,0.222501428
9.54,0.222428981
9.55,0.222356681
9.56,0.222284541
9.57,0.222212596
9.58,0.222140786
9.59,0.222069145
9.6,0.221997678
9.61,0.221926355
9.62,0.221855193
9.63,0.221784198
9.64,0.221713351
9.65,0.221642675
9.66,0.22157214
9.67,0.221501775
9.68,0.22143157
9.69,0.221361527
9.7,0.22129163
9.71,0.221221878
9.72,0.221152289
9.73,0.221082858
9.74,0.221013589
9.75,0.220944452
9.76,0.220875477
9.77,0.220806657
9.78,0.220737999
9.79,0.220669487
9.8,0.220601122
9.81,0.220532898
9.82,0.220464834
9.83,0.220396932
9.84,0.220329159
9.85,0.220261557
9.86,0.220194094
9.87,0.220126762
9.88,0.220059592
9.89,0.219992562
9.9,0.219925705
9.91,0.219858966
9.92,0.219792373
9.93,0.219725933
9.94,0.219659629
9.95,0.219593503
9.96,0.21952749
9.97,0.219461624
9.98,0.219395897
9.99,0.219330331
10,0.219264871
10.01,0.219252178
10.02,0.219236491
10.03,0.219220849
10.04,0.219205239
10.05,0.219189665
10.06,0.219174118
10.07,0.219158629
10.08,0.219143178
10.09,0.219127753
10.1,0.219112375
10.11,0.219097009
10.12,0.219081705
10.13,0.219066431
10.14,0.219051185
10.15,0.219035991
10.16,0.219020817
10.17,0.219005705
10.18,0.218990615
10.19,0.21897556
10.2,0.218960531
10.21,0.218945534
10.22,0.218930587
10.23,0.218915676
10.24,0.218900812
10.25,0.218885957
10.26,0.218871153
10.27,0.218856378
10.28,0.218841631
10.29,0.218826943
10.3,0.218812275
10.31,0.218797642
10.32,0.218783035
10.33,0.218768472
10.34,0.218753945
10.35,0.218739452
10.36,0.218724995
10.37,0.218710556
10.38,0.218696167
10.39,0.218681788
10.4,0.218667468
10.41,0.218653177
10.42,0.218638925
10.43,0.218624693
10.44,0.218610496
10.45,0.218596347
10.46,0.218582211
10.47,0.218568105
10.48,0.218554042
10.49,0.218540013
10.5,0.218526018
10.51,0.218512057
10.52,0.218498123
10.53,0.218484229
10.54,0.218470353
10.55,0.218456524
10.56,0.218442705
10.57,0.218428944
10.58,0.2184152
10.59,0.218401489
10.6,0.218387811
10.61,0.218374156
10.62,0.218360545
10.63,0.218346965
10.64,0.218333408
10.65,0.218319893
10.66,0.218306401
10.67,0.218292943
10.68,0.2182795
10.69,0.2182661
10.7,0.218252737
10.71,0.218239392
10.72,0.218226077
10.73,0.218212801
10.74,0.218199562
10.75,0.218186334
10.76,0.218173147
10.77,0.218159998
10.78,0.21814685
10.79,0.21813375
10.8,0.21812069
10.81,0.218107652
10.82,0.218094645
10.83,0.21808166
10.84,0.218068701
10.85,0.218055778
10.86,0.218042881
10.87,0.21803002
10.88,0.218017174
10.89,0.218004361
10.9,0.217991593
10.91,0.21797884
10.92,0.217966119
10.93,0.217953418
10.94,0.217940748
10.95,0.217928108
10.96,0.217915498
10.97,0.21790292
10.98,0.217890371
10.99,0.217877827
11,0.217865329
11.01,0.217852861
11.02,0.217840434
11.03,0.217828001
11.04,0.217815623
11.05,0.21780325
11.06,0.217790907
11.07,0.217778594
11.08,0.217766325
11.09,0.217754071
11.1,0.217741837
11.11,0.217729632
11.12,0.217717457
11.13,0.217705311
11.14,0.217693195
11.15,0.217681108
11.16,0.21766903
11.17,0.217656976
11.18,0.217644967
11.19,0.217632987
11.2,0.217621026
11.21,0.217609078
11.22,0.217597175
11.23,0.217585285
11.24,0.217573414
11.25,0.217561597
11.26,0.217549774
11.27,0.217538005
11.28,0.217526224
11.29,0.217514501
11.3,0.217502802
11.31,0.217491111
11.32,0.217479459
11.33,0.217467825
11.34,0.217456219
11.35,0.217444616
11.36,0.217433067
11.37,0.217421536
11.38,0.217410033
11.39,0.217398532
11.4,0.217387085
11.41,0.217375655
11.42,0.217364239
11.43,0.217352839
11.44,0.217341484
11.45,0.217330139
11.46,0.217318824
11.47,0.217307551
11.48,0.21729628
11.49,0.217285042
11.5,0.21727381
11.51,0.217262627
11.52,0.217251455
11.53,0.217240296
11.54,0.21722917
11.55,0.21721807
11.56,0.217206987
11.57,0.217195942
11.58,0.217184904
11.59,0.217173896
11.6,0.217162912
11.61,0.217151955
11.62,0.217141009
11.63,0.217130079
11.64,0.217119201
11.65,0.217108331
11.66,0.217097482
11.67,0.217086649
11.68,0.217075833
11.69,0.217065068
11.7,0.217054305
11.71,0.217043568
11.72,0.217032847
11.73,0.217022154
11.74,0.217011501
11.75,0.217000843
11.76,0.216990217
11.77,0.216979608
11.78,0.216969035
11.79,0.216958467
11.8,0.216947936
11.81,0.216937431
11.82,0.216926926
11.83,0.216916452
11.84,0.216905988
11.85,0.216895565
11.86,0.216885143
11.87,0.216874773
11.88,0.216864392
11.89,0.216854062
11.9,0.216843723
11.91,0.216833419
11.92,0.216823145
11.93,0.216812883
11.94,0.216802634
11.95,0.216792412
11.96,0.216782214
11.97,0.216772033
11.98,0.216761875
11.99,0.216751734
12,0.216741617
12.01,0.216731525
12.02,0.216721448
12.03,0.216711398
12.04,0.216701371
12.05,0.216691332
12.06,0.216681346
12.07,0.216671374
12.08,0.216661416
12.09,0.216651478
12.1,0.21664157
12.11,0.216631671
12.12,0.216621802
12.13,0.216611942
12.14,0.216602103
12.15,0.216592292
12.16,0.216582486
12.17,0.216572705
12.18,0.216562952
12.19,0.216553209
12.2,0.2165435
12.21,0.216533795
12.22,0.216524115
12.23,0.216514448
12.24,0.216504822
12.25,0.216495178
12.26,0.2164856
12.27,0.216475994
12.28,0.216466427
12.29,0.216456885
12.3,0.216447357
12.31,0.216437852
12.32,0.216428357
12.33,0.21641888
12.34,0.216409437
12.35,0.216400007
12.36,0.216390576
12.37,0.216381178
12.38,0.2163718
12.39,0.216362429
12.4,0.216353098
12.41,0.216343779
12.42,0.216334459
12.43,0.216325172
12.44,0.216315915
12.45,0.216306656
12.46,0.216297418
12.47,0.216288194
12.48,0.21627902
12.49,0.216269833
12.5,0.216260669
12.51,0.216251518
12.52,0.21624239
12.53,0.216233276
12.54,0.216224194
12.55,0.2162151
12.56,0.216206059
12.57,0.216197001
12.58,0.216187997
12.59,0.21617901
12.6,0.216169999
12.61,0.216161039
12.62,0.216152074
12.63,0.216143138
12.64,0.216134224
12.65,0.216125319
12.66,0.21611644
12.67,0.216107584
12.68,0.216098725
12.69,0.21608988
12.7,0.216081071
12.71,0.216072285
