0.11, 0, 0, 5, 0.4513267, 0, 465.7213, -918.4833, -2.135472, 0.005027314, 0.08000609, 27.97216, 1.149665, 1.014294, 1.734653
0.27, -0.2615888, -0.03324882, 5, 0.4431074, 0.3294488808958197190275, 2637.743, -923.4524, -2.135472, 0.005027314, 0.08000609, 66.59079, 1.149665, 1.006343, 1.758083
 
0.28, -0.2639649, -0.03586471, 5, 0.4430565, 0.3145087302719320222875, 2831.084, -923.7723, -2.135472, 0.005027314, 0.08000609, 68.99007, 1.149665, 1.005846, 1.759548
 
0.29, -0.2657277, -0.03850435, 5, 0.4430041, 0.3003253909174464227100, 3031.169, -924.0934, -2.135472, 0.005027314, 0.08000609, 71.38844, 1.149665, 1.005349, 1.761012
 
0.3, -0.2668369, -0.04116163, 5, 0.4429502, 0.2868091507330976171700, 3237.984, -924.4156, -2.135472, 0.005027314, 0.08000609, 73.78588, 1.149665, 1.004852, 1.762477
 
0.31, -0.2672763, -0.04383, 5, 0.4431106, 0.2738816372289674368575, 3451.734, -924.7389, -2.135472, 0.005027314, 0.08000609, 76.18476, 1.149665, 1.004355, 1.763941
 
0.32, -0.2669906, -0.04650276, 5, 0.4434804, 0.2614678510900700883600, 3672.426, -925.0633, -2.135472, 0.005027314, 0.08000609, 78.58504, 1.149665, 1.003858, 1.765406
 
0.33, -0.2659367, -0.04917267, 5, 0.4438497, 0.2495111660393485946482058776, 3900.067, -925.3888, -2.135472, 0.005027314, 0.08000609, 80.98673, 1.149665, 1.003361, 1.76687
 
0.3399999, -0.2640727, -0.05183203, 5, 0.444219, 0.2379623480767283104575, 4134.664, -925.7155, -2.135472, 0.005027314, 0.08000609, 83.38977, 1.149665, 1.002864, 1.768334
 
0.3499999, -0.2613528, -0.05447276, 5, 0.4445879, 0.2267771870796891413175, 4376.223, -926.0432, -2.135472, 0.005027314, 0.08000609, 85.79416, 1.149665, 1.002367, 1.769799
 
0.3599999, -0.2577367, -0.05708629, 5, 0.4449567, 0.21591908051173156125, 4624.754, -926.372, -2.135472, 0.005027314, 0.08000609, 88.19988, 1.149665, 1.00187, 1.771263
 
0.3699999, -0.2531805, -0.05966366, 5, 0.445331, 0.2053546554719288774925, 4880.259, -926.702, -2.135472, 0.005027314, 0.08000609, 90.60692, 1.149665, 1.001373, 1.772728
 
